healpix,GGDrlen,GGDalpha,GGDbeta
10359,2931.51305538405,1.26899390455073,1.86298995489965
10360,2653.58270045509,1.23627875024629,1.9344040619196
10361,2872.10255144927,1.26391484593138,2.0187334588934
10362,2276.61979168828,1.14070672470823,2.40986390590237
10363,1871.07698235646,1.03576300555401,2.78257675205836
10364,2907.89143725529,1.26781200305837,2.18065089384022
10365,2837.54308885603,1.2476251382943,2.33602277698224
10366,1617.0023602477,0.987642609809415,3.04222079161893
10367,1095.5251647487,0.89515233109222,3.35599953866886
10368,91.7888357376206,0.545849765356889,2.60803099162586
10369,194.95352976593,0.613313947299349,2.43271185869513
10370,177.222819852306,0.607282726097695,2.48218551412098
10371,416.962139702788,0.714396337283571,2.26108531876748
10372,427.192316312692,0.711544668374613,2.21233180123978
10373,856.46441543753,0.847199447504396,2.01288051597225
10374,747.805646989914,0.817208029387763,2.13604370174157
10375,1295.05798603398,0.95604519857928,1.9797410483743
10376,447.870872260965,0.732666477061993,2.20060741525458
10377,759.685451389518,0.819682405464618,2.11283059578714
10378,786.03812358313,0.84078598132809,2.05836746559497
10379,1058.57731014773,0.90056479444672,2.11833209299789
10380,1173.57951080875,0.922884790450841,2.07040934575359
10381,1611.85453177768,1.02362115577883,2.04994411871082
10382,1452.14908900945,0.966878641160526,2.10858108869781
10383,1373.44844805261,0.937629427219288,2.3332732761294
10384,1121.57167151778,0.912686942800544,2.02244424465422
10385,1597.85898345788,1.02817959207831,1.93474040245199
10386,1529.48623328231,0.997101460443526,2.06436448548834
10387,1863.02677181606,1.07097751561238,2.08286068926043
10388,1900.03799152335,1.08539820620752,1.98149438867723
10389,2035.52803254929,1.10533503712734,2.08762628237531
10390,1654.04002645259,1.00600623399206,2.34488042173276
10391,1392.32032086959,0.929780538897224,2.61701522828859
10392,1538.80466490651,0.975059992664665,2.27330164817559
10393,1277.03523675842,0.902568709278182,2.55941809305852
10394,1015.09350454957,0.833615303430446,2.6700856144566
10395,762.153197050043,0.770541343652375,2.95731787297165
10396,882.591360899568,0.811259519944677,2.92630170746377
10397,321.207748206476,0.660552087074325,3.54745367507853
10398,31.3732648174912,0.485383501883301,4.66621204557338
10399,1.12945578861035,0.361576388054684,5.95824216058484
10400,1089.43078908376,0.904965709336328,2.0443070831794
10401,1325.96879639473,0.935166820912935,2.13061974581238
10402,1172.80057771933,0.898059576185916,2.15978107237514
10403,1106.1257535126,0.848194837790873,2.3755818633902
10404,1260.24866041408,0.893387248544825,2.35967058771384
10405,1047.37950556464,0.820279363302066,2.59770436361218
10406,1101.71516605009,0.819499603079328,2.4828070311339
10407,1320.32554940243,0.862634691627265,2.53006032376954
10408,1202.29434528704,0.866983707929113,2.2609762754644
10409,1324.73780372492,0.85702713242701,2.34075380354362
10410,1617.0820838077,0.896539362694611,2.17311159883505
10411,1903.40732180198,0.940472948895095,2.06383999714345
10412,1225.31907254059,0.837061910319851,2.36754145435242
10413,157.255731221806,0.617021987607461,3.82091323777219
10414,273.712466427656,0.666333229354773,3.23733936181138
10415,1109.83004543637,1.14336415359864,2.86561830304565
10416,1094.18323588397,0.826807313447673,2.62808181890641
10417,207.107799952963,0.602725018990304,3.1910056962884
10418,1584.2883087769,0.982191374735234,2.45514901491
10419,396.226533940124,0.846449568701858,3.69146003423105
10420,1212.0970548834,1.24406477942548,2.9497702708093
10421,70.6430563946908,0.592501928867652,4.43089283916244
10422,329.006391804331,0.724015395907996,3.25244512222814
10423,2988.10450716094,1.36547272218581,1.81627024957043
10424,506.662308800549,0.81907840982443,3.24134812942969
10425,1250.37105968547,1.00392738178673,2.51805115941997
10426,3137.53066863864,1.41977418753589,1.77929097278096
10427,4907.26743861678,1.89147148076469,1.50730283646775
10428,4228.00827082683,1.68695217026973,1.68322507228168
10429,5030.93763962718,1.88852021473144,1.51611969111026
10430,4387.36963372902,1.74696061493016,1.52076347474353
10431,3853.81957947769,1.57345504714083,1.57865926591388
10432,2038.97213269851,1.1083489021541,2.18125956645852
10433,1223.93763709922,0.934041055614374,2.42324456653339
10434,803.495629478629,0.811354596284086,3.0213964117602
10435,689.357352348014,0.769240697654554,3.16449442523276
10436,1252.40688757629,0.916922399574969,2.70514677974259
10437,1002.03273999317,0.85909494690844,3.08345286748784
10438,713.099831380282,0.77668836284992,3.06030770928964
10439,380.933482227474,0.720162455172636,3.42069033139524
10440,487.227948920128,0.718989815102297,3.36447091123249
10441,216.439305883251,0.619204261316763,3.16265452763858
10442,88.2508042580915,0.628953577438954,4.96865462253281
10443,512.28453686823,0.764831437052101,2.87688802821648
10444,239.880443558399,0.703058648185241,3.43413752854985
10445,523.18899492401,0.779335662669634,2.69839147803845
10446,3762.11201461477,1.48323540632272,1.62193553658077
10447,4418.59108722484,1.66314809713112,1.59926589643874
10448,884.246456804988,0.834185963775987,3.12571347120259
10449,756.221932864991,0.794668059452671,3.10641950217283
10450,816.709638163651,0.86308607239429,2.53758949608434
10451,537.52710114655,0.829241727872992,2.79584628071192
10452,781.992557002822,0.804536823961645,2.88874736600068
10453,9.10971190344107,0.4483230770112,5.56479003372251
10454,248.022511657701,0.658098589253088,3.00390479256708
10455,2533.89891359516,1.22318504633146,1.80119559354879
10456,1319.19985557214,0.944661994479764,2.02817120109729
10457,4450.19491669693,1.65334480747118,1.66229016054466
10458,4406.69642327225,1.69975090181511,1.68238895243412
10459,4697.305041323,1.78685050216045,1.64941275080569
